gesture,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20
I,0.520167589,0.566093147,0.571607351,0.54178834,0.510557473,0.568273723,0.560733199,0.556081235,0.555356801,0.526174068,0.525873661,0.52493149,0.523424804,0.488691568,0.492498279,0.499070793,0.501265049,0.460068613,0.463912845,0.466344684,0.463780016,0.808694422,0.734311104,0.658303559,0.605053723,0.58933723,0.633344531,0.559253454,0.583063483,0.608353853,0.629636288,0.550891399,0.575019598,0.603662193,0.634857774,0.562284827,0.580303669,0.605037451,0.641207099,0.566700161,0.528498232,0.500112295
I,0.630196393,0.658762276,0.658943951,0.629257441,0.594661832,0.676923633,0.636784136,0.625643194,0.629837811,0.643706083,0.610006154,0.601474166,0.605438292,0.607944608,0.581018448,0.576273084,0.582200229,0.572057843,0.565834582,0.562183559,0.561225295,0.748488963,0.672626257,0.604250789,0.56180799,0.553882957,0.554643571,0.49671194,0.525603712,0.547691107,0.55668664,0.496751159,0.531078398,0.555407345,0.568332911,0.502584219,0.530979991,0.555736899,0.58397609,0.505923748,0.462926477,0.425569415
I,0.534829974,0.576990008,0.585160494,0.548576474,0.507093906,0.601987362,0.561989605,0.550705731,0.55710423,0.558315337,0.526151776,0.516441286,0.520658016,0.513164639,0.488397688,0.483191669,0.489566475,0.470249236,0.4690516,0.468224227,0.469828337,0.66675204,0.592572987,0.511840999,0.455173016,0.437486827,0.465453774,0.389734268,0.421525627,0.448276579,0.467228711,0.391974866,0.427972198,0.458455056,0.476237386,0.394248307,0.422703415,0.452194005,0.484906852,0.398405731,0.349410713,0.307714701
I,0.414101601,0.472546309,0.507214487,0.520607531,0.524887443,0.465832144,0.465738356,0.467202723,0.465742797,0.418217093,0.424332798,0.428458214,0.426732808,0.37751627,0.384111851,0.39055872,0.391250938,0.345489681,0.340961665,0.336406887,0.33047995,0.631890416,0.597552776,0.563253105,0.532221675,0.512918174,0.424345821,0.34455806,0.374534667,0.412195116,0.42121473,0.345388114,0.374837399,0.407524228,0.431613058,0.359939367,0.381370783,0.413264126,0.444723189,0.35782367,0.30379343,0.260094702
I,0.48217693,0.513322353,0.510651171,0.47846055,0.445822537,0.507239521,0.487361133,0.483664274,0.487682223,0.466657102,0.453426063,0.454798698,0.458808303,0.429874092,0.422925979,0.429015607,0.434485763,0.397955298,0.384776235,0.376173586,0.366927415,0.886049271,0.804384112,0.732353151,0.690882683,0.681827188,0.705632508,0.621051073,0.645366907,0.676479876,0.714624286,0.627087355,0.655852973,0.687492371,0.728297472,0.643657684,0.663682938,0.690734029,0.739924073,0.663238704,0.619128346,0.582330346
I,0.70792681,0.730005264,0.730402172,0.706240654,0.67661649,0.754530966,0.707153916,0.691245079,0.695030272,0.728397369,0.684379637,0.672079325,0.67642504,0.69566828,0.663992763,0.653252959,0.656064749,0.661432564,0.648756921,0.642620385,0.640797973,0.916488886,0.849506795,0.781134784,0.733405709,0.716821313,0.732050002,0.655896544,0.685416698,0.709311485,0.745545864,0.661910653,0.693924904,0.720678091,0.764303863,0.674102128,0.697671413,0.722476006,0.783260405,0.706345022,0.662504733,0.623024702
I,0.510788977,0.538565636,0.534037411,0.508784175,0.48205027,0.515996337,0.496208847,0.501124978,0.506620407,0.479488045,0.462730497,0.472519279,0.478529572,0.446798921,0.433950096,0.445822537,0.453000546,0.42053622,0.394984961,0.382309258,0.369074196,1.000453115,0.925007582,0.852187574,0.808072925,0.795452714,0.835105777,0.744541526,0.769886851,0.804304838,0.849413872,0.759029925,0.784481764,0.81535989,0.867347658,0.777311683,0.797229767,0.825084031,0.88476342,0.81634897,0.77746886,0.745539963
I,0.436734706,0.469836771,0.473008037,0.442421377,0.411606312,0.439502925,0.427509964,0.432516515,0.437175453,0.400945187,0.395882159,0.405598909,0.409429669,0.368538976,0.366472393,0.379257262,0.385055721,0.341693819,0.319463253,0.306678027,0.292673349,0.897452235,0.821633101,0.7469697,0.705363333,0.70428437,0.729929805,0.652155101,0.677950323,0.706125557,0.740752816,0.655234694,0.679997563,0.710188329,0.755366743,0.672987521,0.691017807,0.718909085,0.769860864,0.699354947,0.655845165,0.620907903
I,0.50036937,0.541299999,0.547925889,0.518299758,0.485523403,0.551731527,0.519835532,0.506245434,0.503193021,0.508708775,0.488764137,0.483359575,0.487668902,0.464977294,0.453142375,0.451804936,0.455530107,0.424495995,0.417309105,0.41321373,0.410715431,0.697382927,0.623623252,0.541831613,0.481906503,0.473177195,0.509833455,0.439264268,0.45061633,0.461213797,0.507346511,0.437743902,0.459798932,0.490320563,0.51251477,0.45063895,0.467787504,0.49254185,0.51865685,0.441974729,0.405566901,0.379985154
I,0.57031244,0.516979337,0.502320051,0.517485142,0.544017673,0.539152265,0.534262419,0.52847445,0.529917538,0.578403115,0.567758799,0.557572842,0.558042884,0.612012744,0.596286058,0.584002793,0.582800865,0.638620198,0.621709704,0.609009266,0.607468665,0.69561851,0.632359862,0.556542814,0.501905024,0.479257375,0.505696893,0.439070404,0.458559513,0.476171106,0.501530528,0.436922282,0.458692163,0.48777777,0.504452288,0.445585728,0.463259131,0.490338147,0.512618184,0.462999403,0.472401738,0.492895067
I,0.658721387,0.695186853,0.705070257,0.686160445,0.655710697,0.733388484,0.697003424,0.676173389,0.676229537,0.704082012,0.672683001,0.655042529,0.65629971,0.667632639,0.64640671,0.633562744,0.635879695,0.628872216,0.628253937,0.628413796,0.631778598,0.811215043,0.736374855,0.66909498,0.622164309,0.608351767,0.628838181,0.553436339,0.580431044,0.603470087,0.626007915,0.5438568,0.577941179,0.605881035,0.631309688,0.545802295,0.575777829,0.604780555,0.638902366,0.557230115,0.51024437,0.468797624
I,0.372617066,0.424826741,0.455563605,0.458189577,0.445884407,0.416455567,0.433357179,0.435566604,0.429869384,0.37703225,0.397093326,0.402444571,0.397227108,0.342980832,0.363457084,0.370047271,0.365232229,0.316458583,0.312819213,0.310435534,0.304446578,0.725738466,0.676042795,0.609363377,0.548392355,0.516636372,0.552284181,0.484105885,0.514805257,0.544775844,0.546612203,0.479090273,0.508204579,0.535979867,0.55105871,0.488762438,0.513697207,0.542967856,0.55987978,0.480495691,0.435040236,0.397536337
I,0.360200614,0.409988016,0.425257415,0.405967355,0.376545876,0.386517048,0.400632411,0.404732108,0.40174067,0.346564025,0.364961505,0.37344107,0.371624559,0.313352525,0.332742006,0.343917072,0.343003005,0.288474739,0.275382042,0.267069221,0.254765511,0.810759783,0.746822655,0.673449874,0.620420456,0.612461865,0.631830335,0.557388306,0.588059366,0.621422946,0.630422294,0.56001842,0.588001311,0.615133882,0.639237881,0.571692526,0.59422195,0.623071671,0.651231647,0.573996902,0.529322803,0.493679136
I,0.34536311,0.395115942,0.411282837,0.395239294,0.373972565,0.363651603,0.378166318,0.382985979,0.379700333,0.323502988,0.343167692,0.351692677,0.349024475,0.292496264,0.311715573,0.322797537,0.320169568,0.270463407,0.26208362,0.255363435,0.243305787,0.846540928,0.786637008,0.708124757,0.648780227,0.635781705,0.676338136,0.598127007,0.629182577,0.661277294,0.675743103,0.598762274,0.626336634,0.654027998,0.682566047,0.609827459,0.631082952,0.659022868,0.692009389,0.618730605,0.577890098,0.545475483
I,0.45021826,0.48289758,0.483781517,0.456888497,0.430804551,0.455394626,0.450505763,0.458537579,0.461947709,0.418270528,0.420336008,0.431473553,0.435302734,0.388619184,0.392818063,0.40530169,0.409814566,0.367301047,0.352063715,0.342455089,0.329574406,0.88073802,0.811550796,0.740863442,0.693313599,0.675482213,0.725332797,0.644695818,0.665378034,0.692273498,0.73396033,0.647906661,0.669398606,0.697296023,0.744665265,0.660069585,0.677514732,0.705708265,0.754206002,0.684840798,0.647698581,0.620525181
I,0.555105209,0.585441828,0.589323103,0.56512481,0.535872459,0.593250215,0.570950389,0.562285483,0.565350115,0.557726741,0.540458322,0.535126209,0.539319575,0.522936165,0.511473894,0.51027441,0.514656603,0.492553413,0.489545614,0.483646393,0.47763449,0.856079459,0.788880885,0.726455986,0.686853826,0.67877382,0.694508433,0.623078346,0.645372391,0.669783711,0.697247326,0.625458956,0.653479934,0.679321229,0.705860794,0.635188222,0.655788958,0.679617226,0.714830041,0.645462513,0.607788563,0.578550458
I,0.669657946,0.693003476,0.695433736,0.676152647,0.651879013,0.715938926,0.678162575,0.665363014,0.668890953,0.690567374,0.659795523,0.649101734,0.652910888,0.662165165,0.639894366,0.631557465,0.635436833,0.632783711,0.628290355,0.62395829,0.62298882,0.858683288,0.800345182,0.744278133,0.702742875,0.687770605,0.703727841,0.644334495,0.666398466,0.688368559,0.704405785,0.643809617,0.670084476,0.694270432,0.710835099,0.647933722,0.671734333,0.695032358,0.718696356,0.654657364,0.619297028,0.58849442
